Id,LotArea,Street,LotConfig,Neighborhood,BldgType,HouseStyle,YearBuilt,YearRemodAdd,RoofStyle,Electrical,GrLivArea,BedroomAbvGr,TotRmsAbvGrd,GarageType,MoSold,YrSold,SaleType,SaleCondition,SalePrice,Y_renew
17,11241,Pave,CulDSac,NAmes,1Fam,1Story,1970,1970,Gable,SBrkr,1004,2,5,Attchd,3,2010,WD,Normal,149000,40
18,10791,Pave,Inside,Sawyer,Duplex,1Story,1967,1967,Gable,SBrkr,1296,2,6,CarPort,10,2006,WD,Normal,90000,39
19,13695,Pave,Inside,SawyerW,1Fam,1Story,2004,2004,Gable,SBrkr,1114,3,6,Detchd,6,2008,WD,Normal,159000,4
20,7560,Pave,Inside,NAmes,1Fam,1Story,1958,1965,Hip,SBrkr,1339,3,6,Attchd,5,2009,COD,Abnorml,139000,44
21,14215,Pave,Corner,NridgHt,1Fam,2Story,2005,2006,Gable,SBrkr,2376,4,9,BuiltIn,11,2006,New,Partial,325300,0
22,7449,Pave,Inside,IDOTRR,1Fam,1.5Unf,1930,1950,Gable,FuseF,1108,3,6,Attchd,6,2007,WD,Normal,139400,57
23,9742,Pave,Inside,CollgCr,1Fam,1Story,2002,2002,Hip,SBrkr,1795,3,7,Attchd,9,2008,WD,Normal,230000,6
24,4224,Pave,Inside,MeadowV,TwnhsE,1Story,1976,1976,Gable,SBrkr,1060,3,6,Attchd,6,2007,WD,Normal,129900,31
25,8246,Pave,Inside,Sawyer,1Fam,1Story,1968,2001,Gable,SBrkr,1060,3,6,Attchd,5,2010,WD,Normal,154000,9
26,14230,Pave,Corner,NridgHt,1Fam,1Story,2007,2007,Gable,SBrkr,1600,3,7,Attchd,7,2009,WD,Normal,256300,2
27,7200,Pave,Corner,NAmes,1Fam,1Story,1951,2000,Gable,SBrkr,900,3,5,Detchd,5,2010,WD,Normal,134800,10
28,11478,Pave,Inside,NridgHt,1Fam,1Story,2007,2008,Gable,SBrkr,1704,3,7,Attchd,5,2010,WD,Normal,306000,2
29,16321,Pave,CulDSac,NAmes,1Fam,1Story,1957,1997,Gable,SBrkr,1600,2,6,Attchd,12,2006,WD,Normal,207500,9
30,6324,Pave,Inside,BrkSide,1Fam,1Story,1927,1950,Gable,SBrkr,520,1,4,Detchd,5,2008,WD,Normal,68500,58
31,8500,Pave,Inside,IDOTRR,1Fam,2Story,1920,1950,Gambrel,SBrkr,1317,3,6,Detchd,7,2008,WD,Normal,40000,58
32,8544,Pave,CulDSac,Sawyer,1Fam,1Story,1966,2006,Gable,SBrkr,1228,3,6,Attchd,6,2008,WD,Normal,149350,2
33,11049,Pave,Corner,CollgCr,1Fam,1Story,2007,2007,Gable,SBrkr,1234,3,7,Attchd,1,2008,WD,Normal,179900,1
34,10552,Pave,Inside,NAmes,1Fam,1Story,1959,1959,Hip,SBrkr,1700,4,6,Attchd,4,2010,WD,Normal,165500,51
35,7313,Pave,Inside,NridgHt,TwnhsE,1Story,2005,2005,Hip,SBrkr,1561,2,6,Attchd,8,2007,WD,Normal,277500,2
36,13418,Pave,Inside,NridgHt,1Fam,2Story,2004,2005,Gable,SBrkr,2452,4,9,BuiltIn,9,2006,WD,Normal,309000,1
37,10859,Pave,Corner,CollgCr,1Fam,1Story,1994,1995,Gable,SBrkr,1097,3,6,Attchd,6,2009,WD,Normal,145000,14
38,8532,Pave,Inside,NAmes,1Fam,1Story,1954,1990,Hip,SBrkr,1297,3,5,Attchd,10,2009,WD,Normal,153000,19
39,7922,Pave,Inside,NAmes,1Fam,1Story,1953,2007,Gable,SBrkr,1057,3,5,Detchd,1,2010,WD,Abnorml,109000,3
40,6040,Pave,Inside,Edwards,Duplex,1Story,1955,1955,Gable,FuseP,1152,2,6,NA,6,2008,WD,AdjLand,82000,53
41,8658,Pave,Inside,NAmes,1Fam,1Story,1965,1965,Gable,SBrkr,1324,3,6,Attchd,12,2006,WD,Abnorml,160000,41
42,16905,Pave,Inside,Timber,1Fam,1Story,1959,1959,Gable,SBrkr,1328,2,5,Attchd,7,2007,WD,Normal,170000,48
43,9180,Pave,CulDSac,SawyerW,1Fam,SFoyer,1983,1983,Gable,SBrkr,884,2,5,Attchd,12,2007,WD,Normal,144000,24
44,9200,Pave,CulDSac,CollgCr,1Fam,1Story,1975,1980,Hip,SBrkr,938,3,5,Detchd,7,2008,WD,Normal,130250,28
45,7945,Pave,Inside,NAmes,1Fam,1Story,1959,1959,Gable,FuseA,1150,3,6,Attchd,5,2006,WD,Normal,141000,47
46,7658,Pave,Inside,NridgHt,TwnhsE,1Story,2005,2005,Hip,SBrkr,1752,2,6,Attchd,2,2010,WD,Normal,319900,5
47,12822,Pave,CulDSac,Mitchel,1Fam,1.5Fin,2003,2003,Gable,SBrkr,2149,1,6,Attchd,8,2009,WD,Abnorml,239686,6
48,11096,Pave,Inside,Somerst,1Fam,1Story,2006,2006,Gable,SBrkr,1656,3,7,Attchd,7,2007,WD,Normal,249700,1
49,4456,Pave,Inside,OldTown,2fmCon,2Story,1920,2008,Gable,SBrkr,1452,2,8,NA,6,2009,New,Partial,113000,1
50,7742,Pave,Inside,Sawyer,1Fam,1Story,1966,1966,Gable,SBrkr,955,3,6,Attchd,1,2007,WD,Normal,127000,41
51,13869,Pave,Corner,Gilbert,1Fam,2Story,1997,1997,Gable,SBrkr,1470,3,6,Attchd,7,2007,WD,Normal,177000,10
52,6240,Pave,Inside,BrkSide,1Fam,1.5Fin,1934,1950,Gable,SBrkr,1176,3,6,Detchd,9,2006,WD,Normal,114500,56
53,8472,Grvl,Corner,IDOTRR,Duplex,1Story,1963,1963,Gable,SBrkr,816,2,5,CarPort,5,2010,WD,Normal,110000,47
54,50271,Pave,Inside,Veenker,1Fam,1Story,1981,1987,Gable,SBrkr,1842,0,5,Attchd,11,2006,WD,Normal,385000,19
55,7134,Pave,Inside,NAmes,1Fam,SLvl,1955,1955,Gable,SBrkr,1360,3,6,Detchd,2,2007,WD,Normal,130000,52
56,10175,Pave,Inside,NAmes,1Fam,1Story,1964,1964,Gable,SBrkr,1425,3,7,Attchd,7,2008,WD,Normal,180500,44
57,2645,Pave,Inside,Somerst,Twnhs,2Story,1999,2000,Gable,SBrkr,1739,3,7,Attchd,8,2009,WD,Abnorml,172500,9
58,11645,Pave,Corner,CollgCr,1Fam,2Story,2004,2004,Gable,SBrkr,1720,3,7,Attchd,8,2006,WD,Normal,196500,2
59,13682,Pave,CulDSac,StoneBr,1Fam,2Story,2006,2006,Hip,SBrkr,2945,3,10,BuiltIn,10,2006,New,Partial,438780,0
60,7200,Pave,Inside,CollgCr,1Fam,1Story,1972,1972,Gable,SBrkr,780,2,4,Detchd,1,2008,WD,Normal,124900,36
61,13072,Pave,Inside,SawyerW,1Fam,1Story,2004,2004,Gable,SBrkr,1158,3,5,Detchd,5,2006,New,Partial,158000,2
62,7200,Pave,Inside,IDOTRR,1Fam,2.5Unf,1920,1996,Gable,SBrkr,1111,3,6,Detchd,3,2007,WD,Normal,101000,11
63,6442,Pave,Inside,NridgHt,TwnhsE,1Story,2006,2006,Gable,SBrkr,1370,2,6,Attchd,10,2007,WD,Normal,202500,1
64,10300,Pave,Inside,OldTown,1Fam,2Story,1921,1950,Gable,SBrkr,1710,3,9,Detchd,4,2010,WD,Normal,140000,60
65,9375,Pave,Inside,CollgCr,1Fam,2Story,1997,1998,Gable,SBrkr,2034,3,8,Attchd,2,2009,WD,Normal,219500,11
66,9591,Pave,Inside,NridgHt,1Fam,2Story,2004,2005,Gable,SBrkr,2473,4,9,BuiltIn,10,2007,WD,Normal,317000,2
67,19900,Pave,Inside,NAmes,1Fam,1Story,1970,1989,Gable,SBrkr,2207,3,7,Attchd,7,2010,WD,Normal,180000,21
68,10665,Pave,Inside,CollgCr,1Fam,1Story,2003,2003,Gable,SBrkr,1479,3,7,Attchd,6,2007,WD,Normal,226000,4
69,4608,Pave,Corner,OldTown,1Fam,1Story,1945,1950,Gable,SBrkr,747,2,4,Attchd,6,2010,WD,Normal,80000,60
70,15593,Pave,Corner,ClearCr,1Fam,1.5Fin,1953,1953,Gable,SBrkr,2287,3,7,Attchd,7,2006,WD,Normal,225000,53
71,13651,Pave,Inside,NAmes,1Fam,1Story,1973,1973,Gable,SBrkr,2223,3,8,Attchd,2,2007,WD,Normal,244000,34
72,7599,Pave,Corner,Mitchel,1Fam,1Story,1982,2006,Gable,SBrkr,845,2,4,Detchd,6,2007,WD,Normal,129500,1
73,10141,Pave,Corner,Gilbert,1Fam,2Story,1998,1998,Gable,SBrkr,1718,3,7,Attchd,12,2009,WD,Normal,185000,11
74,10200,Pave,Inside,NAmes,1Fam,1Story,1954,2003,Gable,SBrkr,1086,3,6,Attchd,5,2010,WD,Normal,144900,7
75,5790,Pave,Corner,OldTown,1Fam,2Story,1915,1950,Gambrel,SBrkr,1605,3,8,Detchd,5,2010,WD,Normal,107400,60
76,1596,Pave,Inside,MeadowV,Twnhs,SLvl,1973,1973,Gable,SBrkr,988,2,5,BuiltIn,11,2009,WD,Normal,91000,36
77,8475,Pave,Inside,NAmes,1Fam,1Story,1956,1956,Gable,FuseA,952,2,4,Detchd,4,2008,WD,Normal,135750,52
78,8635,Pave,Inside,BrkSide,1Fam,1.5Fin,1948,2001,Gable,SBrkr,1285,2,6,Detchd,1,2008,WD,Normal,127000,7
79,10778,Pave,Inside,Sawyer,Duplex,1Story,1968,1968,Hip,SBrkr,1768,4,8,NA,4,2010,WD,Normal,136500,42
80,10440,Pave,Corner,OldTown,1Fam,2Story,1910,1981,Gable,SBrkr,1230,2,5,Detchd,5,2009,WD,Normal,110000,28
81,13000,Pave,Corner,NAmes,1Fam,2Story,1968,1968,Gable,SBrkr,2142,4,8,Attchd,6,2009,WD,Normal,193500,41
82,4500,Pave,FR2,Mitchel,TwnhsE,1Story,1998,1998,Hip,SBrkr,1337,2,5,Attchd,3,2006,WD,Normal,153500,8
83,10206,Pave,Inside,Somerst,1Fam,1Story,2007,2007,Gable,SBrkr,1563,3,6,Attchd,10,2008,WD,Normal,245000,1
84,8892,Pave,Inside,NAmes,1Fam,1Story,1960,1960,Gable,SBrkr,1065,3,6,Detchd,7,2007,COD,Normal,126500,47
85,8530,Pave,Inside,Gilbert,1Fam,SLvl,1995,1996,Gable,SBrkr,1474,3,7,BuiltIn,5,2009,WD,Normal,168500,13
86,16059,Pave,Corner,NoRidge,1Fam,2Story,1991,1992,Hip,SBrkr,2417,4,9,Attchd,4,2006,WD,Normal,260000,14
87,11911,Pave,Inside,Gilbert,1Fam,2Story,2005,2005,Gable,SBrkr,1560,3,6,BuiltIn,3,2009,WD,Normal,174000,4
88,3951,Pave,Corner,Somerst,TwnhsE,2Story,2009,2009,Gable,SBrkr,1224,2,4,Detchd,6,2009,New,Partial,164500,0
89,8470,Pave,Corner,IDOTRR,1Fam,1.5Fin,1915,1982,Hip,SBrkr,1526,2,6,NA,10,2009,ConLD,Abnorml,85000,27
90,8070,Pave,Inside,CollgCr,1Fam,1Story,1994,1995,Gable,SBrkr,990,3,5,NA,8,2007,WD,Normal,123600,12
91,7200,Pave,Inside,NAmes,1Fam,1Story,1950,1950,Gable,FuseA,1040,2,4,Detchd,7,2006,WD,Normal,109900,56
92,8500,Pave,Inside,NAmes,1Fam,1Story,1961,1961,Hip,SBrkr,1235,2,6,Attchd,12,2006,WD,Abnorml,98600,45
93,13360,Pave,Inside,Crawfor,1Fam,1Story,1921,2006,Gable,SBrkr,964,2,5,Detchd,8,2009,WD,Normal,163500,3
94,7200,Pave,Corner,OldTown,2fmCon,2.5Unf,1910,1998,Hip,SBrkr,2291,4,9,Detchd,11,2007,WD,Normal,133900,9
95,9337,Pave,Inside,CollgCr,1Fam,2Story,1997,1997,Gable,SBrkr,1786,3,7,Attchd,5,2007,WD,Normal,204750,10
96,9765,Pave,Corner,Gilbert,1Fam,2Story,1993,1993,Gable,SBrkr,1470,3,6,BuiltIn,4,2009,WD,Normal,185000,16
97,10264,Pave,Inside,CollgCr,1Fam,1Story,1999,1999,Gable,SBrkr,1588,3,6,Attchd,8,2006,WD,Normal,214000,7
98,10921,Pave,Inside,Edwards,1Fam,1Story,1965,1965,Hip,FuseF,960,3,6,Attchd,5,2007,WD,Normal,94750,42
99,10625,Pave,Corner,Edwards,1Fam,1Story,1920,1950,Gable,SBrkr,835,2,5,Basment,5,2010,COD,Abnorml,83000,60
100,9320,Pave,Inside,NAmes,1Fam,1Story,1959,1959,Gable,SBrkr,1225,3,6,NA,1,2010,WD,Normal,128950,51
101,10603,Pave,Inside,NWAmes,1Fam,1Story,1977,2001,Gable,SBrkr,1610,3,6,Attchd,2,2010,WD,Normal,205000,9
102,9206,Pave,Inside,SawyerW,1Fam,2Story,1985,1985,Gable,SBrkr,1732,3,7,Attchd,6,2010,WD,Normal,178000,25
103,7018,Pave,Inside,SawyerW,Duplex,1Story,1979,1979,Gable,SBrkr,1535,4,8,Attchd,6,2009,WD,Alloca,118964,30
104,10402,Pave,Corner,CollgCr,1Fam,1Story,2009,2009,Gable,SBrkr,1226,3,6,Attchd,5,2010,WD,Normal,198900,1
105,7758,Pave,Corner,IDOTRR,1Fam,1.5Fin,1931,1950,Gable,FuseF,1818,4,7,Detchd,6,2007,WD,Normal,169500,57
106,9375,Pave,Inside,Somerst,1Fam,2Story,2003,2004,Hip,SBrkr,1992,3,9,Attchd,8,2008,WD,Normal,250000,4
107,10800,Pave,Inside,OldTown,1Fam,1Story,1885,1995,Mansard,SBrkr,1047,2,6,Detchd,8,2007,WD,Normal,100000,12
108,6000,Pave,Inside,OldTown,1Fam,1Story,1948,1950,Gable,SBrkr,789,2,5,Detchd,4,2008,WD,Partial,115000,58
109,8500,Pave,Corner,IDOTRR,1Fam,1.5Fin,1919,2005,Gable,FuseF,1517,3,7,NA,8,2007,WD,Normal,115000,2
110,11751,Pave,Inside,NWAmes,1Fam,1Story,1977,1977,Hip,SBrkr,1844,3,7,Attchd,1,2010,COD,Normal,190000,33
111,9525,Pave,Inside,Edwards,1Fam,1.5Fin,1954,1972,Gable,SBrkr,1855,4,7,Attchd,10,2006,WD,Normal,136900,34
112,7750,Pave,Inside,Gilbert,1Fam,SLvl,2000,2000,Gable,SBrkr,1430,3,7,BuiltIn,4,2010,WD,Normal,180000,10
113,9965,Pave,Inside,CollgCr,1Fam,2Story,2007,2007,Gable,SBrkr,2696,4,10,BuiltIn,10,2007,New,Partial,383970,0
114,21000,Pave,Corner,Crawfor,1Fam,1Story,1953,1953,Hip,SBrkr,2259,3,7,Basment,10,2007,COD,Abnorml,217000,54
115,7259,Pave,Inside,Crawfor,1Fam,2Story,1945,2002,Gambrel,SBrkr,2320,3,9,Detchd,7,2007,WD,Normal,259500,5
116,3230,Pave,Corner,Somerst,TwnhsE,2Story,1999,1999,Gable,SBrkr,1458,2,5,Detchd,6,2007,WD,Normal,176000,8
117,11616,Pave,Inside,Sawyer,1Fam,1Story,1962,1962,Gable,SBrkr,1092,3,6,Attchd,9,2009,WD,Normal,139000,47
118,8536,Pave,Corner,Edwards,1Fam,1Story,2006,2007,Gable,SBrkr,1125,2,5,Attchd,4,2007,New,Partial,155000,0
119,12376,Pave,Corner,SawyerW,1Fam,2Story,1990,1990,Hip,SBrkr,3222,5,11,Attchd,5,2010,WD,Normal,320000,20
120,8461,Pave,Inside,CollgCr,1Fam,2Story,2005,2006,Gable,SBrkr,1456,3,8,Attchd,7,2006,New,Partial,163990,0
121,21453,Pave,CulDSac,ClearCr,1Fam,SLvl,1969,1969,Flat,SBrkr,988,1,4,Attchd,10,2006,WD,Normal,180000,37
122,6060,Pave,Inside,IDOTRR,1Fam,1.5Fin,1939,1950,Gable,SBrkr,1123,3,4,Detchd,6,2007,WD,Normal,100000,57
123,9464,Pave,Corner,NAmes,1Fam,1Story,1958,1958,Hip,SBrkr,1080,3,5,Attchd,6,2008,WD,Normal,136000,50
124,7892,Pave,Inside,SawyerW,TwnhsE,1Story,1993,1993,Gable,SBrkr,1199,2,5,Attchd,3,2008,WD,Normal,153900,15
125,17043,Pave,CulDSac,NWAmes,1Fam,1Story,1979,1998,Gable,SBrkr,1586,3,7,Attchd,1,2009,WD,Normal,181000,11
126,6780,Pave,Inside,IDOTRR,2fmCon,1.5Fin,1935,1982,Gable,SBrkr,754,2,5,NA,6,2006,WD,Normal,84500,24
127,4928,Pave,Inside,NPkVill,TwnhsE,1Story,1976,1976,Gable,SBrkr,958,2,5,Attchd,2,2007,WD,Normal,128000,31
128,4388,Pave,Inside,OldTown,1Fam,1.5Unf,1930,1950,Gable,SBrkr,840,3,5,NA,6,2007,WD,Normal,87000,57
129,7590,Pave,Inside,NAmes,1Fam,2Story,1966,1966,Gable,SBrkr,1348,3,6,Attchd,7,2006,WD,Normal,155000,40
130,8973,Pave,Inside,NAmes,1Fam,1Story,1958,1991,Gable,FuseA,1053,3,6,2Types,7,2006,WD,Abnorml,150000,15
131,14200,Pave,Corner,NAmes,1Fam,2Story,1966,1966,Gable,SBrkr,2157,4,8,Attchd,5,2006,WD,Normal,226000,40
132,12224,Pave,Corner,Gilbert,1Fam,2Story,2000,2000,Gable,SBrkr,2054,3,7,BuiltIn,7,2009,WD,Normal,244000,9
133,7388,Pave,Corner,NAmes,1Fam,1Story,1959,2002,Gable,SBrkr,1327,3,7,Detchd,7,2007,WD,Normal,150750,5
134,6853,Pave,Inside,Timber,1Fam,1Story,2001,2002,Gable,SBrkr,1296,2,6,Attchd,6,2009,WD,Normal,220000,7
135,10335,Pave,Inside,Sawyer,1Fam,1Story,1968,1993,Gable,SBrkr,1721,3,7,Attchd,7,2006,WD,Normal,180000,13
136,10400,Pave,Inside,NWAmes,1Fam,1Story,1970,1970,Hip,SBrkr,1682,3,7,Attchd,5,2008,WD,Normal,174000,38
137,10355,Pave,Corner,NAmes,1Fam,1Story,1967,1967,Gable,SBrkr,1214,3,5,Attchd,7,2007,WD,Normal,143000,40
138,11070,Pave,Inside,Mitchel,Duplex,1Story,1988,1989,Gable,SBrkr,1959,5,9,2Types,7,2006,WD,Family,171000,17
139,9066,Pave,Inside,CollgCr,1Fam,2Story,1999,2000,Gable,SBrkr,1852,3,7,Attchd,12,2008,WD,Normal,230000,8
140,15426,Pave,Inside,CollgCr,1Fam,2Story,1997,1997,Gable,SBrkr,1764,3,7,Attchd,8,2009,WD,Normal,231500,12
141,10500,Pave,FR2,NAmes,1Fam,1Story,1971,1971,Gable,SBrkr,864,3,5,NA,4,2010,ConLI,Normal,115000,39
142,11645,Pave,Inside,CollgCr,1Fam,1Story,2005,2005,Gable,SBrkr,1734,3,7,Attchd,1,2006,WD,Normal,260000,1
143,8520,Pave,Corner,NAmes,1Fam,1.5Fin,1952,1952,Gable,SBrkr,1385,4,6,Detchd,6,2010,WD,Normal,166000,58
144,10335,Pave,Inside,CollgCr,1Fam,1Story,1999,1999,Gable,SBrkr,1501,3,6,Attchd,6,2009,WD,Normal,204000,10
145,9100,Pave,Inside,Sawyer,Duplex,1Story,1963,1963,Gable,SBrkr,1728,6,10,Detchd,11,2006,ConLI,Abnorml,125000,43
146,2522,Pave,Inside,Edwards,Twnhs,2Story,2004,2006,Gable,SBrkr,1709,3,7,Detchd,4,2006,WD,Normal,130000,0
147,6120,Pave,Corner,BrkSide,1Fam,1Story,1931,1993,Gable,FuseA,875,2,5,Detchd,11,2009,WD,Normal,105000,16
148,9505,Pave,CulDSac,Gilbert,1Fam,2Story,2001,2001,Gable,SBrkr,2035,3,8,BuiltIn,5,2010,WD,Normal,222500,9
149,7500,Pave,Inside,SawyerW,1Fam,1Story,2004,2005,Gable,SBrkr,1080,3,6,NA,4,2008,WD,Normal,141000,3
150,6240,Pave,Inside,BrkSide,1Fam,1.5Fin,1936,1950,Gable,FuseA,1344,3,7,Detchd,4,2006,WD,Normal,115000,56
151,10356,Pave,Corner,CollgCr,1Fam,1Story,1975,1975,Gable,SBrkr,969,3,5,Attchd,1,2007,WD,Normal,122000,32
152,13891,Pave,Inside,NridgHt,1Fam,1Story,2007,2008,Hip,SBrkr,1710,2,6,Attchd,1,2008,New,Partial,372402,0
153,14803,Pave,CulDSac,NWAmes,1Fam,2Story,1971,1971,Gable,SBrkr,1993,4,8,Attchd,6,2006,WD,Normal,190000,35
154,13500,Pave,Inside,ClearCr,1Fam,1Story,1960,1975,Flat,SBrkr,1252,1,4,Attchd,3,2008,WD,Normal,235000,33
155,11340,Pave,Corner,OldTown,1Fam,1Story,1923,1950,Gable,FuseA,1200,4,7,Detchd,3,2006,WD,Family,125000,56
156,9600,Pave,Corner,Edwards,1Fam,1.5Fin,1924,1950,Gable,FuseF,1096,2,5,NA,4,2008,WD,Normal,79000,58
157,7200,Pave,Inside,NAmes,1Fam,1Story,1950,1950,Hip,FuseF,1040,2,5,Detchd,6,2006,WD,Normal,109500,56
158,12003,Pave,Corner,Timber,1Fam,2Story,2009,2010,Gable,SBrkr,1968,4,8,BuiltIn,5,2010,New,Partial,269500,0
159,12552,Pave,Corner,Somerst,1Fam,2Story,2004,2005,Gable,SBrkr,1947,3,8,Attchd,5,2010,WD,Normal,254900,5
160,19378,Pave,Corner,Gilbert,1Fam,2Story,2005,2006,Gable,SBrkr,2462,4,9,Attchd,3,2006,New,Partial,320000,0
161,11120,Pave,CulDSac,Veenker,1Fam,1Story,1984,1984,Gable,SBrkr,1232,3,6,Attchd,6,2008,WD,Normal,162500,24
162,13688,Pave,Inside,NridgHt,1Fam,2Story,2003,2004,Gable,SBrkr,2668,3,10,BuiltIn,3,2008,WD,Normal,412500,4
163,12182,Pave,Corner,NridgHt,1Fam,1Story,2005,2005,Gable,SBrkr,1541,3,7,Attchd,5,2010,New,Partial,220000,5
164,5500,Pave,Inside,OldTown,1Fam,1.5Unf,1956,1956,Gable,SBrkr,882,1,4,NA,4,2007,WD,Normal,103200,51
165,5400,Pave,Corner,OldTown,1Fam,1Story,1926,2004,Gable,FuseA,1616,3,5,Detchd,10,2007,WD,Normal,152000,3
166,10106,Pave,Inside,Edwards,2fmCon,1.5Fin,1940,1999,Gable,SBrkr,1355,4,6,NA,9,2008,WD,Normal,127500,9
167,10708,Pave,Inside,ClearCr,1Fam,1Story,1955,1993,Hip,FuseA,1867,2,7,Attchd,11,2009,COD,Normal,190000,16
168,10562,Pave,Inside,NridgHt,1Fam,2Story,2007,2007,Gable,SBrkr,2161,3,8,Attchd,11,2007,New,Partial,325624,0
169,8244,Pave,Inside,Gilbert,1Fam,2Story,2004,2004,Gable,SBrkr,1720,3,7,Attchd,5,2007,WD,Normal,183500,3
170,16669,Pave,Corner,Timber,1Fam,1Story,1981,1981,Hip,SBrkr,1707,2,6,Attchd,1,2006,WD,Normal,228000,25
171,12358,Pave,Inside,OldTown,1Fam,1.5Fin,1941,1950,Gable,SBrkr,1382,2,7,Detchd,5,2007,WD,Normal,128500,57
172,31770,Pave,Corner,NAmes,1Fam,1Story,1960,1960,Hip,SBrkr,1656,3,7,Attchd,5,2010,WD,Normal,215000,50
173,5306,Pave,Inside,StoneBr,TwnhsE,2Story,1987,1987,Gable,SBrkr,1767,2,5,Attchd,6,2006,WD,Normal,239000,19
174,10197,Pave,Inside,NAmes,1Fam,1Story,1961,1961,Gable,SBrkr,1362,3,6,Attchd,6,2008,COD,Normal,163000,47
175,12416,Pave,Inside,Timber,1Fam,1Story,1986,1986,Gable,SBrkr,1651,3,7,Attchd,11,2008,WD,Normal,184000,22
176,12615,Pave,Corner,Edwards,1Fam,1Story,1950,2001,Gable,SBrkr,2158,4,7,Attchd,6,2007,WD,Normal,243000,6
177,10029,Pave,Corner,ClearCr,1Fam,2Story,1988,1989,Gable,SBrkr,2060,4,8,Attchd,9,2007,WD,Normal,211000,18
178,13650,Pave,Inside,Sawyer,1Fam,1.5Fin,1958,1958,Gable,SBrkr,1920,4,8,Attchd,7,2006,WD,Normal,172500,48
179,17423,Pave,CulDSac,StoneBr,1Fam,1Story,2008,2009,Hip,SBrkr,2234,1,9,Attchd,7,2009,New,Partial,501837,0
180,8520,Pave,Inside,OldTown,1Fam,1Story,1923,2006,Gable,SBrkr,968,2,5,Detchd,7,2007,WD,Normal,100000,1
181,2117,Pave,Inside,Somerst,Twnhs,2Story,2000,2000,Gable,SBrkr,1525,3,5,Detchd,6,2007,WD,Normal,177000,7
182,7588,Pave,Inside,Crawfor,1Fam,2Story,1920,1950,Gable,SBrkr,1802,4,9,Detchd,7,2006,WD,Normal,200100,56
183,9060,Pave,Inside,Edwards,1Fam,1Story,1957,2006,Hip,SBrkr,1340,3,7,Attchd,6,2007,WD,Normal,120000,1
184,11426,Pave,Inside,OldTown,1Fam,1.5Fin,2003,2003,Gable,SBrkr,2082,3,6,Detchd,6,2008,WD,Normal,200000,5
185,7438,Pave,Inside,BrkSide,1Fam,1.5Fin,1908,1991,Gable,SBrkr,1252,3,5,Attchd,6,2006,WD,Normal,127000,15
186,22950,Pave,Inside,OldTown,1Fam,2.5Fin,1892,1993,Gable,SBrkr,3608,4,12,Detchd,6,2006,WD,Normal,475000,13
187,9947,Pave,CulDSac,Mitchel,1Fam,SLvl,1990,1991,Gable,SBrkr,1217,3,6,Attchd,6,2009,WD,Normal,173000,18
